#  i    j    k  func       th0       cth
  CA     CB     CN      1   116.200    711.280   
  CA     CB     NB      1   132.400    585.760   
  CB     CB     N*      1   106.200    585.760   
  CB     CB     NA      1   106.200    585.760   
  CS     CR     NA      1   106.200    585.760   
  CR     CS     CW      1   110.400    585.760   
  CB     CB     NC      1   127.700    585.760   
  CB     CB     N       1   127.700    585.760   
  CS     CR     NC      1   127.700    585.760   
  N*     CB     NC      1   126.200    585.760   
  NA     CB     NC      1   126.200    585.760   
  NB     CB     N       1   126.200    585.760   
  NB     CR     N       1   126.200    585.760   
  NA     CR     NC      1   126.200    585.760   
  CT     CW     CV      1   130.700    585.760   
  CT     CV     CW      1   130.700    585.760   
  CT     CX     CX      1   130.700    585.760   
  CT     CW     CW      1   120.000    585.760   
  CW     CW     NA      1   120.000    585.760   
  CA     CA     NA      1   108.700    585.760   
  N*     CK     NB      1   113.900    585.760   
  NA     CK     NB      1   113.900    585.760   
  NA     CK     H5      1   123.050    292.880   
  N*     CK     H5      1   123.050    292.880   
  NB     CK     H5      1   123.050    292.880   
  C      CM     C3      1   119.700    711.280   
  C_2    CM     C3      1   119.700    711.280   
  C_3    CM     C3      1   119.700    711.280   
  C      CM     CM      1   120.700    711.280   
  C_2    CM     CM      1   120.700    711.280   
  C_3    CM     CM      1   120.700    711.280   
  C      CM     CT      1   119.700    585.760   
  C_2    CM     CT      1   119.700    585.760   
  C_3    CM     CT      1   119.700    585.760   
  C      CA     CT      1   119.700    585.760   
  C_2    CA     CT      1   119.700    585.760   
  C_3    CA     CT      1   119.700    585.760   
  C      CM     HC      1   119.700    292.880   
  C_2    CM     HC      1   119.700    292.880   
  C_3    CM     HC      1   119.700    292.880   
  CA     CM     CM      1   117.000    711.280   
  CA     CM     HC      1   123.300    292.880   
  CM     CM     CT      1   124.000    585.760   
  CM     C=     C=      1   124.000    585.760   
  CM     C=     C       1   118.700    585.760   
  CM     C=     C_2     1   118.700    585.760   
  CM     C=     C_3     1   118.700    585.760   
  CM     C=     CT      1   124.000    585.760   
  C=     C=     CT      1   124.000    585.760   
  CT     CM     C=      1   124.000    585.760   
  CM     CT     CM      1   112.400    527.184   
  CM     CT     OS      1   120.000    585.760   
  CM     CT     OH      1   109.500    418.400   
  CM     CM     HC      1   120.000    292.880   
  CM     CM     H4      1   119.700    292.880   
  CM     C=     HC      1   120.000    292.880   
  C=     CM     HC      1   120.000    292.880   
  C=     C=     HC      1   120.000    292.880   
  C      C=     HC      1   119.700    292.880   
  C_2    C=     HC      1   119.700    292.880   
  C_3    C=     HC      1   119.700    292.880   
  CT     C      HC      1   115.000    292.880   
  CT     C_2    HC      1   115.000    292.880   
  CA     C      HC      1   115.000    292.880   
