1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  CA     SY     N      CT       	    2.0739985660  	-2.9660014340      2.4729995220      0.00000   
  CA     SY2    CT     HC       	    0.0000000000  	0.0000000000      0.3500000000       0.00000   
  CB     C*     CT     CT       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     C*     CT     HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     C*     CT     CT_2     	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     CA     CT     CT       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     CA     CT     HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     CA     N2     H        	    0.0000000000  	2.0300000000      0.0000000000       0.00000   
  CB     CS     CT     CT       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CB     CS     CT     HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CK     CT     CT     HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CK     N*     CT     CT       	    -1.0000000000  	-0.3500000000      0.0000000000      0.00000   
  CK     N*     CT     OS       	    -1.5000000000  	-1.5000000000      0.0000000000      0.00000   
  CK     NA     CT     CT       	    -1.0000000000  	-0.3500000000      0.0000000000      0.00000   
  CK     NA     CT     OS       	    -1.5000000000  	-1.5000000000      0.0000000000      0.00000   
  CM     C      N      H        	    0.0000000000  	4.9000000000      0.0000000000       0.00000   
  CM     N      C      O        	    0.0000000000  	6.0890009560      0.0000000000       0.00000   
  CM     C=     C      O        	    2.5000000000  	6.0000000000      0.0000000000       0.00000   
  CM     C=     C      CT       	    0.8000000000  	-3.0000000000      0.0000000000      0.00000   
  CM     C=     C      OH       	    3.2000000000  	-3.0000000000      0.0000000000      0.00000   
  CM     C=     C=     CM       	    1.4230031071  	4.0550000000      0.8580007170       0.00000   
  CM     C=     C=     CT       	    -0.0000023901  	0.0000000000      -0.3720004780      0.00000   
  CM     C=     C=     HC       	    -0.0000023901  	0.0000000000      -0.3720004780      0.00000   
  CM     C=     C_2    HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CM     C=     C_2    O_2      	    2.5000000000  	6.0000000000      0.0000000000       0.00000   
  CM     CM     C      N        	    2.0000000000  	0.0000000000      0.0000000000       0.00000   
  CM     CM     C      O        	    2.5000000000  	6.0000000000      0.0000000000       0.00000   
  CM     CM     C      OH       	    3.2000000000  	-3.0000000000      0.0000000000      0.00000   
  CM     CM     CT     CT       	    0.3460026291  	0.4050000000      -0.9039997610      0.00000   
  CM     CM     CT     HC       	    -0.0000023901  	0.0000000000      -0.3720004780      0.00000   
  CM     CM     OS     CT       	    -3.5000000000  	3.0000000000      0.0000000000       0.00000   
  CM     CT     CT     CT       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CM     CT     CT     HC       	    0.0000035851  	0.0000000000      0.3660002390       0.00000   
  CM     CT     OH     HO       	    -0.9000000000  	0.0000000000      0.0000000000       0.00000   
  CM     OS     CT     HC       	    0.0000000000  	0.0000000000      0.7600000000       0.00000   
  CN     NA     CW     HA       	    0.0000000000  	3.0000000000      0.0000000000       0.00000   
  CO     CT     CT     CT       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CO     CT     CT     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CO     CT     CT     NT       	    2.3919980880  	-0.6739985660      0.5500000000      0.00000   
  CO     CT     OH     HO       	    -0.3560050191  	-0.1739985660      0.4919992830      0.00000   
  CO     OS     CT     CT       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CO     OS     CT     HC       	    0.0000000000  	0.0000000000      0.7600000000       0.00000   
  C_3    CT     CT     CT       	    -3.1850023901  	-0.8250000000      0.4929995220      0.00000   
  C_3    CT     CT     HC       	    0.0000000000  	0.0000000000      -0.2250000000      0.00000   
  C_3    CT_2   CT     CT       	    -3.1850023901  	-0.8250000000      0.4929995220      0.00000   
  C_3    CT_2   CT     HC       	    0.0000000000  	0.0000000000      -0.2250000000      0.00000   
  C_2    CT     CT     CT       	    -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C_2    CT     CT     HC       	    0.0000047801  	0.0000000000      -0.0759990440      0.00000   
