930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  F      C      O         	   80.00000             121.00000      
  F      C      O_2       	   80.00000             121.00000      
  F      C      O_3       	   80.00000             121.00000      
  F      C_2    O_2       	   80.00000             121.00000      
  F      C      CT        	   80.00000             111.00000      
  F      C_2    CT        	   80.00000             111.00000      
  N      C      O         	   80.00000             122.90000      
  N      C      O_2       	   80.00000             122.90000      
  N      C      O_3       	   80.00000             122.90000      
  N      C_2    O_2       	   80.00000             122.90000      
  N      C      N         	   70.00000             114.20000      
  N      C_2    N         	   70.00000             114.20000      
  N*     C      NA        	   70.00000             115.40000      
  N*     C_2    NA        	   70.00000             115.40000      
  N*     C      NC        	   70.00000             118.60000      
  N*     C_2    NC        	   70.00000             118.60000      
  NA     C      NA        	   70.00000             118.60000      
  NA     C_2    NA        	   70.00000             118.60000      
  N*     C      O         	   80.00000             120.90000      
  N*     C      O_2       	   80.00000             120.90000      
  N*     C      O_3       	   80.00000             120.90000      
  N*     C_2    O_2       	   80.00000             120.90000      
  NA     C      O         	   80.00000             120.60000      
  NA     C      O_2       	   80.00000             120.60000      
  NA     C      O_3       	   80.00000             120.60000      
  NA     C_2    O_2       	   80.00000             120.60000      
  NC     C      O         	   80.00000             122.50000      
  NC     C      O_2       	   80.00000             122.50000      
  NC     C      O_3       	   80.00000             122.50000      
  NC     C_2    O_2       	   80.00000             122.50000      
  NC     C      NA        	   70.00000             118.60000      
  NC     C_2    NA        	   70.00000             118.60000      
  NA     CM     H4        	   35.00000             119.10000      
  N      CA     HA        	   35.00000             119.10000      
  ON     NO     ON        	   80.00000             125.00000      
  O_3    C      OH        	   80.00000             121.00000      
  O2     C_3    O2        	   80.00000             126.00000      
  CB     C*     CT        	   70.00000             128.60000      
  CB     C*     CW        	   85.00000             106.40000      
  CT     C*     CW        	   70.00000             125.00000      
  CB     CS     CT        	   70.00000             128.60000      
  CB     CS     CW        	   85.00000             106.40000      
  CT     CS     CW        	   70.00000             125.00000      
  CT     CT     NT        	   56.19993             109.47000      
  C3     CT     NT        	   56.19993             109.47000      
  CT     CT_2   NT        	   56.19993             109.47000      
  C      CA     CA        	   85.00000             120.00000      
  C_2    CA     CA        	   85.00000             120.00000      
  C_3    CA     CA        	   85.00000             120.00000      
  C      CA     HA        	   35.00000             120.00000      
  C_2    CA     HA        	   35.00000             120.00000      
  C_3    CA     HA        	   35.00000             120.00000      
  CA     CA     CA        	   63.00000             120.00000      
  CA     C!     CA        	   63.00000             120.00000      
  CA     C!     C!        	   63.00000             120.00000      
  CA     CA     C!        	   63.00000             120.00000      
  CA     C!     CR        	   63.00000             120.00000      
  CA     C!     CS        	   63.00000             120.00000      
  CA     C!     CW        	   63.00000             120.00000      
  CA     C!     CU        	   63.00000             120.00000      
  CA     C!     CV        	   63.00000             120.00000      
  CA     CA     CB        	   63.00000             120.00000      
  CA     CA     CN        	   85.00000             120.00000      
  CA     CA     CM        	   70.00000             124.00000      
  CA     CM     CT        	   85.00000             119.70000      
  CA     CM     C=        	   85.00000             117.00000      
  CA     CA     CT        	   70.00000             120.00000      
  CA     CA     NT        	   70.00000             120.10000      
  CA     CA     HA        	   35.00000             120.00000      
  C!     CA     HA        	   35.00000             120.00000      
  CT     NC     CQ        	   70.00000             118.60000      
  CT     NC     NZ        	   70.00000             120.00000      
  NC     NZ     NZ        	   100.00000            180.00000      
  CT     CT     NC        	   65.00000             109.00000      
  NC     CA     HA        	   35.00000             116.00000      
  CA     CA     NC        	   70.00000             124.00000      
  CA     C!     NC        	   70.00000             124.00000      
  C!     CA     NC        	   70.00000             124.00000      
  C!     C!     NC        	   70.00000             124.00000      
  CA     NC     CA        	   70.00000             117.00000      
  CA     NC     C!        	   70.00000             117.00000      
  CA     NC     CY        	   70.00000             125.80000      
  CA     CA     CW        	   70.00000             107.40000      
  CV     NA     H         	   35.00000             120.00000      
  CW     NA     CW        	   70.00000             109.80000      
  CW     NA     CT        	   70.00000             125.80000      
  CV     CW     NA        	   70.00000             106.30000      
  CV     CW     N         	   70.00000             106.30000      
  CW     CV     NB        	   70.00000             111.00000      
  CW     NA     CR        	   70.00000             109.80000      
  CB     NA     CR        	   70.00000             109.80000      
  CW     C=     C=        	   35.00000             106.00000      
  CA     NA     CK        	   70.00000             109.80000      
  NC     CA     CT        	   70.00000             116.00000      
  NC     CQ     CT        	   70.00000             115.50000      
  NC     CQ     O         	   80.00000             122.50000      
  NB     CV     CT        	   70.00000             124.50000      
  CA     CV     NB        	   70.00000             111.00000      
  CA     NC     NC        	   70.00000             117.00000      
  CT     NC     NC        	   70.00000             117.00000      
  OS     CW     CS        	   70.00000             110.60000      
  OS     CW     CA        	   70.00000             110.60000      
  OS     CW     C=        	   70.00000             110.00000      
  CW     OS     CW        	   70.00000             106.50000      
  CW     OS     CB        	   70.00000             106.50000      
  CR     OS     CB        	   70.00000             106.50000      
  OS     CW     HA        	   35.00000             113.40000      
  S      CW     HA        	   35.00000             113.40000      
