816 1
# name         mass(gm/mol) 
 opls_377B  14.00670    -
 opls_378   12.01100     
 opls_379   14.00670    -
 opls_380   12.01100     
 opls_381   12.01100    -
 opls_382   12.01100     
 opls_383    1.00800     
 opls_384   15.99940    -
 opls_385    1.00800     
 opls_386   14.00670    -
 opls_387    1.00800     
 opls_388    1.00800     
 opls_389    1.00800     
 opls_390    1.00800     
 opls_391   12.01100     
 opls_392    1.00800     
 opls_393    30.97376    
 opls_394   15.99940    -
 opls_395   15.99940    -
 opls_396   12.01100     
 opls_400   18.99840    -
 opls_401    35.45300    
 opls_402    79.90400    
 opls_403   126.90450    
 opls_404    6.94100     
 opls_405    22.98977    
 opls_406    6.94100     
 opls_407    22.98977    
 opls_408    39.09830    
 opls_409    85.46780    
 opls_410   132.90540    
 opls_411    24.30500    
 opls_412    40.08000    
 opls_413    87.62000    
 opls_414    137.33000   
 opls_415   12.01100    -
 opls_416    1.00800     
 opls_417    32.06000    
 opls_418   12.01100    -
 opls_419    1.00800     
 opls_420   15.99940    -
 opls_421   12.01100    -
 opls_422    1.00800     
 opls_423   12.01100     
 opls_424   14.00670    -
 opls_425   12.01100    -
 opls_426    1.00800     
 opls_427   14.00670    -
 opls_428    1.00800     
 opls_429   12.01100    -
 opls_430    1.00800     
 opls_431   12.01100     
 opls_432    1.00800     
 opls_433    0.00000    -
 opls_434   15.99940    -
 opls_435    1.00800     
 opls_436    0.00000     
 opls_437   15.99940    -
 opls_440    30.97376    
 opls_441   15.99940    -
 opls_442   15.99940    -
 opls_443   12.01100     
 opls_444    1.00800    -
 opls_445    30.97376    
 opls_446   15.99940    -
 opls_447   15.99940    -
 opls_448   12.01100     
 opls_449    1.00800    -
 opls_450    30.97376    
 opls_451   15.99940    -
 opls_452   15.99940    -
 opls_453   12.01100     
 opls_454    1.00800    -
 opls_455   12.01100    -
 opls_456    1.00800     
 opls_457   12.01100    -
 opls_458   12.01100     
 opls_459    1.00800     
 opls_460   12.01100    -
 opls_461   12.01100    -
 opls_462    1.00800     
 opls_463   12.01100     
 opls_465   12.01100     
 opls_466   15.99940    -
 opls_467   15.99940    -
 opls_468   12.01100     
 opls_469    1.00800     
 opls_470   12.01100     
 opls_471   12.01100     
 opls_472   12.01100     
 opls_473   15.99940    -
 opls_474    32.06000    
 opls_475   15.99940    -
 opls_476   12.01100    -
 opls_477    1.00800     
 opls_478   14.00670    -
 opls_479    1.00800     
 opls_480   14.00670    -
 opls_481    1.00800     
 opls_482   12.01100     
 opls_483   	 1.00800 
 opls_484   	12.01100 
 opls_485   	 1.00800 
 opls_486   	12.01100 
 opls_487   	 1.00800 
 opls_488   	12.01100 
 opls_490   	12.01100 
 opls_491   	12.01100 
 opls_492   	12.01100 
 opls_493   6	32.06000 
 opls_494   	15.99940 
 opls_496   6	32.06000 
 opls_497   	15.99940 
 opls_498   	12.01100 
 opls_499   	12.01100 
 opls_500   	12.01100 
 opls_501   	12.01100 
 opls_502   	12.01100 
 opls_503   	14.00670 
 opls_504   	 1.00800 
 opls_505   	12.01100 
 opls_506   	12.01100 
 opls_507   	12.01100 
 opls_508   	12.01100 
 opls_509   	12.01100 
 opls_510   	12.01100 
 opls_511   	14.00670 
 opls_512   	14.00670 
 opls_513   	 1.00800 
 opls_514   	12.01100 
 opls_515   	12.01100 
 opls_516   	12.01100 
 opls_517   	12.01100 
 opls_518   	12.01100 
 opls_520   	14.00670 
 opls_521   	12.01100 
 opls_522   	12.01100 
 opls_523   	12.01100 
 opls_524   	 1.00800 
 opls_525   	 1.00800 
 opls_526   	 1.00800 
 opls_527   	14.00670 
 opls_528   	12.01100 
 opls_529   	 1.00800 
 opls_530   	14.00670 
 opls_531   	12.01100 
 opls_532   	12.01100 
 opls_533   	12.01100 
 opls_534   	 1.00800 
 opls_535   	 1.00800 
 opls_536   	 1.00800 
 opls_537   	14.00670 
 opls_538   	12.01100 
 opls_539   	12.01100 
 opls_540   	 1.00800 
 opls_541   	 1.00800 
 opls_542   	14.00670 
 opls_543   	12.01100 
 opls_544   	12.01100 
 opls_545   	 1.00800 
 opls_546   	 1.00800 
 opls_547   	 1.00800 
 opls_548   	14.00670 
 opls_549   	14.00670 
 opls_550   	12.01100 
 opls_551   	12.01100 
 opls_552   	12.01100 
 opls_553   	 1.00800 
 opls_554   	 1.00800 
 opls_555   	 1.00800 
 opls_556   	 1.00800 
 opls_557   	14.00670 
 opls_558   	12.01100 
 opls_559   	14.00670 
 opls_560   	12.01100 
 opls_561   	12.01100 
 opls_562   	 1.00800 
 opls_563   	 1.00800 
 opls_564   	 1.00800 
 opls_565   	 1.00800 
 opls_566   	15.99940 
 opls_567   	12.01100 
 opls_568   	12.01100 
 opls_569   	 1.00800 
 opls_570   	 1.00800 
 opls_571   	15.99940 
 opls_572   	12.01100 
 opls_573   	14.00670 
 opls_574   	12.01100 
 opls_575   	12.01100 
 opls_576   	 1.00800 
 opls_577   	 1.00800 
 opls_578   	 1.00800 
 opls_579   	15.99940 
 opls_580   	14.00670 
 opls_581   	12.01100 
 opls_582   	12.01100 
 opls_583   	12.01100 
 opls_584   	 1.00800 
 opls_585   	 1.00800 
 opls_586   	 1.00800 
 opls_587   	14.00670 
 opls_588   	12.01100 
 opls_589   	12.01100 
 opls_590   	12.01100 
 opls_591   	12.01100 
 opls_592   	12.01100 
 opls_593   	12.01100 
 opls_594   	12.01100 
 opls_595   	12.01100 
 opls_596   	 1.00800 
 opls_597   	 1.00800 
 opls_598   	 1.00800 
 opls_599   	 1.00800 
 opls_600   	 1.00800 
 opls_601   	 1.00800 
 opls_602   	 1.00800 
 opls_603   	14.00670 
 opls_604   	12.01100 
 opls_605   	12.01100 
 opls_606   	12.01100 
 opls_607   	12.01100 
 opls_608   	12.01100 
 opls_609   	12.01100 
 opls_610   	12.01100 
 opls_611   	12.01100 
 opls_612   	12.01100 
 opls_613   	 1.00800 
 opls_614   	 1.00800 
 opls_615   	 1.00800 
 opls_616   	 1.00800 
 opls_617   	 1.00800 
 opls_618   	 1.00800 
 opls_619   	 1.00800 
 opls_620   	14.00670 
 opls_621   	12.01100 
 opls_622   	14.00670 
 opls_623   	12.01100 
 opls_624   	12.01100 
 opls_625   	12.01100 
 opls_626   	14.00670 
 opls_627   	12.01100 
 opls_628   	14.00670 
 opls_629   	 1.00800 
 opls_630   	 1.00800 
 opls_631   	 1.00800 
 opls_632   	 1.00800 
 opls_633   6	32.06000 
 opls_634   	12.01100 
 opls_635   	14.00670 
 opls_636   	12.01100 
 opls_637   	12.01100 
 opls_638   	 1.00800 
 opls_639   	 1.00800 
 opls_640   	 1.00800 
 opls_641   	14.00670 
 opls_642   	12.01100 
 opls_643   	 1.00800 
 opls_644   	12.01100 
 opls_645   	12.01100 
 opls_646   	14.00670 
 opls_647   	12.01100 
 opls_648   	12.01100 
 opls_649   	12.01100 
 opls_650   	12.01100 
 opls_651   	12.01100 
 opls_652   	12.01100 
 opls_653   	 1.00800 
 opls_654   	 1.00800 
 opls_655   	 1.00800 
 opls_656   	 1.00800 
 opls_670   	12.01100 
 opls_671   	12.01100 
 opls_672   	12.01100 
 opls_673   	12.01100 
 opls_674   	12.01100 
 opls_675   	12.01100 
 opls_676   	12.01100 
 opls_677   	12.01100 
 opls_678   	12.01100 
 opls_679   	12.01100 
 opls_680   	12.01100 
 opls_681   	12.01100 
 opls_697   9	227.0300 
 opls_698   0   232.0400 
 opls_699   5   243.0600 
 opls_700   	12.01100 
 opls_701   	12.01100 
 opls_702   	 1.00800 
 opls_703   7 	138.9100 
 opls_704   0	144.2400 
 opls_705   3   151.9600 
 opls_706   4   157.2500 
 opls_707   0	173.0400 
 opls_708   	12.01100 
 opls_709   7	35.45300 
 opls_710   	 1.00800 
 opls_711   	12.01100 
 opls_712   	12.01100 
 opls_713   	12.01100 
 opls_714   	12.01100 
 opls_715   	 1.00800 
 opls_716   	12.01100 
 opls_717   	 1.00800 
 opls_718   	12.01100 
 opls_719   	18.99840 
 opls_720   	12.01100 
 opls_721   	18.99840 
 opls_722   5	79.90400 
 opls_724   	12.01100 
 opls_725   	12.01100 
 opls_726   	18.99840 
 opls_727   	12.01100 
 opls_728   	18.99840 
 opls_729   	12.01100 
 opls_730   5	79.90400 
 opls_731   	12.01100 
 opls_732   3	126.90450
 opls_733   	12.01100 
 opls_734   6	32.06000 
 opls_735   	12.01100 
 opls_736   	12.01100 
 opls_737   	12.01100 
 opls_738   	12.01100 
 opls_739   	12.01100 
 opls_740   	 1.00800 
 opls_741   	 1.00800 
 opls_742   	12.01100 
 opls_743   	14.00670 
 opls_744   	 1.00800 
 opls_745   	 1.00800 
 opls_746   	 1.00800 
 opls_747   	12.01100 
 opls_748   	12.01100 
 opls_749   	14.00670 
 opls_750   	14.00670 
 opls_751   	14.00670 
 opls_752   	12.01100 
 opls_753   	14.00670 
 opls_754   	12.01100 
 opls_755   	12.01100 
 opls_756   	12.01100 
 opls_757   	12.01100 
 opls_758   	12.01100 
 opls_759   	 1.00800 
 opls_760   	14.00670 
 opls_761   	15.99940 
 opls_762   	12.01100 
 opls_763   	 1.00800 
 opls_764   	12.01100 
 opls_765   	12.01100 
 opls_766   	12.01100 
 opls_767   	14.00670 
 opls_768   	12.01100 
 opls_771   	15.99940 
 opls_772   	12.01100 
 opls_773   	15.99940 
 opls_774   	12.01100 
 opls_775   	12.01100 
 opls_776   	12.01100 
 opls_777   	 1.00800 
 opls_778   	 1.00800 
 opls_779   	 1.00800 
 opls_781   5	30.97376 
 opls_782   	12.01100 
 opls_783   	12.01100 
 opls_784   	 1.00800 
 opls_785   5	30.97376 
 opls_786   	18.99840 
 opls_787   	14.00670 
 opls_788   	15.99940 
 opls_795   	15.99940 
 opls_796   	 1.00800 
 opls_797   	 0.00000 
 opls_900   	14.00670 
 opls_901   	14.00670 
 opls_902   	14.00670 
 opls_903   	12.01100 
 opls_904   	12.01100 
 opls_905   	12.01100 
 opls_906   	12.01100 
 opls_906B  	12.01100 
 opls_907   	12.01100 
 opls_908   	12.01100 
 opls_909   	 1.00800 
 opls_910   	 1.00800 
 opls_911   	 1.00800 
 opls_912   	12.01100 
 opls_912B  	12.01100 
 opls_913   	12.01100 
 opls_914   	12.01100 
 opls_915   	12.01100 
 opls_916   	12.01100 
 opls_917   	12.01100 
 opls_918   	12.01100 
 opls_925   	12.01100 
 opls_926   	 1.00800 
 opls_927   	12.01100 
 opls_928   	12.01100 
 opls_929   	12.01100 
 opls_930   	 1.00800 
 opls_931   	12.01100 
 opls_940   	14.00670 
 opls_941   	 1.00800 
 opls_942   	12.01100 
 opls_943   	12.01100 
 opls_944   	12.01100 
 opls_945   	12.01100 
 opls_950   	 1.00800 
 opls_951   	12.01100 
 opls_952   	12.01100 
 opls_953   	14.00670 
 opls_954   	15.99940 
 opls_955   	 1.00800 
 opls_956   	18.99840 
 opls_957   	12.01100 
 opls_958   	 1.00800 
 opls_959   	12.01100 
 opls_960   	12.01100 
 opls_961   	12.01100 
 opls_962   	12.01100 
 opls_963   	12.01100 
 opls_964   	12.01100 
 opls_965   	18.99840 
 MW_tip4pew	 0.00000
 HW_tip4pew      1.00800 
 OW_tip4pew     15.99940    
