816  2
# name            epsilon(Kcal/mol)  sigma(Angstrom) 
 opls_338           0.08000          3.50000         
 opls_339           0.00000          0.00000         
 opls_340           0.21000          2.96000         
 opls_341           0.17000          3.25000         
 opls_342           0.00000          0.00000         
 opls_343           0.00000          0.00000         
 opls_344           0.05000          2.50000         
 opls_345           0.05000          2.50000         
 opls_346           0.17000          3.25000         
 opls_347           0.08000          3.50000         
 opls_348           0.17000          3.25000         
 opls_349           0.08000          3.50000         
 opls_350           0.08000          3.50000         
 opls_351           0.08000          3.50000         
 opls_352           0.17000          3.25000         
 opls_353           0.08000          3.50000         
 opls_354           0.17000          3.25000         
 opls_354B          0.17000          3.25000         
 opls_355           0.05000          2.50000         
 opls_356           0.17000          3.25000         
 opls_357           0.00000          0.00000         
 opls_358           0.00000          0.00000         
 opls_359           0.05000          2.50000         
 opls_360           0.00000          0.00000         
 opls_361           0.17000          3.25000         
 opls_362           0.08000          3.50000         
 opls_363           0.17000          3.25000         
 opls_364           0.08000          3.50000         
 opls_365           0.08000          3.50000         
 opls_366           0.10500          3.75000         
 opls_367           0.00000          0.00000         
 opls_368           0.17000          3.25000         
 opls_369           0.00000          0.00000         
 opls_370           0.21000          2.96000         
 opls_371           0.08000          3.50000         
 opls_372           0.05000          2.50000         
 opls_373           0.08000          3.50000         
 opls_374           0.05000          2.50000         
 opls_375           0.08000          3.50000         
 opls_376           0.05000          2.50000         
 opls_377           0.17000          3.25000         
 opls_377B          0.17000          3.25000         
 opls_378           0.10500          3.75000         
 opls_379           0.17000          3.25000         
 opls_380           0.08000          3.50000         
 opls_381           0.08000          3.50000         
 opls_382           0.08000          3.50000         
 opls_383           0.00000          0.00000         
 opls_384           0.21000          2.96000         
 opls_385           0.00000          0.00000         
 opls_386           0.17000          3.25000         
 opls_387           0.00000          0.00000         
 opls_388           0.00000          0.00000         
 opls_389           0.05000          2.50000         
 opls_390           0.05000          2.50000         
 opls_391           0.08000          3.50000         
 opls_392           0.05000          2.50000         
 opls_393           0.20000          3.74000         
 opls_394           0.21000          2.96000         
 opls_395           0.17000          3.00000         
 opls_396           0.06600          3.55000         
 opls_400           0.72000          2.73295         
 opls_401           0.11779          4.41724         
 opls_402           0.09000          4.62376         
 opls_403           0.07000          5.40000         
 opls_404           6.25000          1.25992         
 opls_405           1.60714          1.89744         
 opls_406           0.01828          2.12645         
 opls_407           0.00277          3.33045         
 opls_408           0.00033          4.93463         
 opls_409           0.00017          5.62177         
 opls_410           0.00008          6.71600         
 opls_411           0.87504          1.64447         
 opls_412           0.44966          2.41203         
 opls_413           0.11823          3.10269         
 opls_414           0.04710          3.81661         
 opls_415           0.30000          4.20000         
 opls_416           0.05000          2.50000         
 opls_417           0.50000          4.25000         
 opls_418           0.30000          4.20000         
 opls_419           0.05000          2.50000         
 opls_420           0.25000          3.15000         
 opls_421           0.30000          4.20000         
 opls_422           0.05000          2.50000         
 opls_423           0.15000          3.65000         
 opls_424           0.25000          3.40000         
 opls_425           0.30000          4.20000         
 opls_426           0.05000          2.50000         
 opls_427           0.25000          3.40000         
 opls_428           0.05000          2.50000         
 opls_429           0.30000          4.20000         
 opls_430           0.05000          2.50000         
 opls_431           0.30000          4.20000         
 opls_432           0.05000          2.50000         
 opls_433           0.00000          0.00000         
 opls_434           0.25000          3.20000         
 opls_435           0.00000          0.00000         
 opls_436           0.40000          2.81524         
 opls_437           0.20000          3.11815         
 opls_440           0.20000          3.74000         
 opls_441           0.20000          3.15000         
 opls_442           0.14000          2.90000         
 opls_443           0.06600          3.50000         
 opls_444           0.03000          2.50000         
 opls_445           0.20000          3.74000         
 opls_446           0.20000          3.15000         
 opls_447           0.14000          2.90000         
 opls_448           0.06600          3.50000         
 opls_449           0.03000          2.50000         
 opls_450           0.20000          3.74000         
 opls_451           0.20000          3.15000         
 opls_452           0.14000          2.90000         
 opls_453           0.06600          3.50000         
 opls_454           0.03000          2.50000         
 opls_455           0.06600          3.50000         
 opls_456           0.03000          2.50000         
 opls_457           0.07000          3.55000         
 opls_458           0.06600          3.50000         
