816 1
# name  bond_type 
 opls_498   CT  
 opls_499   CT  
 opls_500   C*  
 opls_501   CB  
 opls_502   CN  
 opls_503   NA  
 opls_504   H   
 opls_505   CT  
 opls_506   CR  
 opls_507   CV  
 opls_508   CW  
 opls_509   CR  
 opls_510   CX  
 opls_511   NB  
 opls_512   NA  
 opls_513   H   
 opls_514   CW  
 opls_515   CT  
 opls_516   CT  
 opls_517   CM  
 opls_518   CM  
 opls_520   NC  
 opls_521   CA  
 opls_522   CA  
 opls_523   CA  
 opls_524   HA  
 opls_525   HA  
 opls_526   HA  
 opls_527   NC  
 opls_528   CA  
 opls_529   HA  
 opls_530   NC  
 opls_531   CQ  
 opls_532   CA  
 opls_533   CA  
 opls_534   HA  
 opls_535   HA  
 opls_536   HA  
 opls_537   NC  
 opls_538   CA  
 opls_539   CA  
 opls_540   HA  
 opls_541   HA  
 opls_542   NA  
 opls_543   CW  
 opls_544   CS  
 opls_545   H   
 opls_546   HA  
 opls_547   HA  
 opls_548   NA  
 opls_549   NB  
 opls_550   CU  
 opls_551   CA  
 opls_552   CW  
 opls_553   H   
 opls_554   HA  
 opls_555   HA  
 opls_556   HA  
 opls_557   NA  
 opls_558   CR  
 opls_559   NB  
 opls_560   CV  
 opls_561   CW  
 opls_562   H   
 opls_563   HA  
 opls_564   HA  
 opls_565   HA  
 opls_566   OS  
 opls_567   CW  
 opls_568   CS  
 opls_569   HA  
 opls_570   HA  
 opls_571   OS  
 opls_572   CR  
 opls_573   NB  
 opls_574   CV  
 opls_575   CW  
 opls_576   HA  
 opls_577   HA  
 opls_578   HA  
 opls_579   OS  
 opls_580   NB  
 opls_581   CU  
 opls_582   CA  
 opls_583   CW  
 opls_584   HA  
 opls_585   HA  
 opls_586   HA  
 opls_587   NA  
 opls_588   CW  
 opls_589   CS  
 opls_590   CA  
 opls_591   CA  
 opls_592   CA  
 opls_593   CA  
 opls_594   CN  
 opls_595   CB  
 opls_596   H   
 opls_597   HA  
 opls_598   HA  
 opls_599   HA  
 opls_600   HA  
 opls_601   HA  
 opls_602   HA  
