820 1
# name         charge(e)
 opls_592      -0.108      
 opls_593      -0.258      
 opls_594       0.220      
 opls_595       0.225      
 opls_596       0.376      
 opls_597       0.147      
 opls_598       0.172      
 opls_599       0.155      
 opls_600       0.107      
 opls_601       0.110      
 opls_602       0.140      
 opls_603      -0.694      
 opls_604       0.425      
 opls_605      -0.359      
 opls_606      -0.008      
 opls_607      -0.197      
 opls_608      -0.112      
 opls_609      -0.070      
 opls_610      -0.307      
 opls_611       0.563      
 opls_612      -0.051      
 opls_613       0.028      
 opls_614       0.146      
 opls_615       0.119      
 opls_616       0.133      
 opls_617       0.113      
 opls_618       0.114      
 opls_619       0.157      
 opls_620      -0.760      
 opls_621       0.679      
 opls_622      -0.788      
 opls_623       0.736      
 opls_624       0.038      
 opls_625       0.343      
 opls_626      -0.642      
 opls_627       0.452      
 opls_628      -0.682      
 opls_629       0.024      
 opls_630       0.101      
 opls_631       0.086      
 opls_632       0.413      
 opls_633      -0.030      
 opls_634       0.242      
 opls_635      -0.515      
 opls_636       0.228      
 opls_637      -0.299      
 opls_638       0.101      
 opls_639       0.068      
 opls_640       0.205      
 opls_641      -0.951      
 opls_642       0.965      
 opls_643      -0.014      
 opls_644       0.130      
 opls_645       0.052      
 opls_646      -0.599      
 opls_647       0.392      
 opls_648      -0.348      
 opls_649       0.020      
 opls_650      -0.042      
 opls_651       0.347      
 opls_652      -0.196      
 opls_653       0.032      
 opls_654       0.146      
 opls_655       0.108      
 opls_656       0.140      
 opls_670      -0.168      
 opls_671      -0.108      
 opls_672      -0.189      
 opls_673      -0.129      
 opls_674      -0.169      
 opls_675      -0.109      
 opls_676      -0.138      
 opls_677      -0.078      
 opls_678      -0.025      
 opls_679       0.035      
 opls_680      -0.038      
 opls_681       0.022      
 opls_697       3.000      
 opls_698       4.000      
 opls_699       3.000      
 opls_700       0.619      
 opls_701      -0.395      
 opls_702       0.174      
 opls_703       3.000      
 opls_704       3.000      
 opls_705       3.000      
 opls_706       3.000      
 opls_707       3.000      
 opls_708      -0.344      
 opls_709      -0.628      
 opls_710       0.200      
 opls_711      -0.120      
 opls_712      -0.060      
 opls_713       0.000      
 opls_714      -0.230      
 opls_715       0.030      
 opls_716      -0.099      
 opls_717       0.099      
 opls_718       0.220      
 opls_719      -0.220      
 opls_720       0.130      
 opls_721      -0.130      
 opls_722      -0.220      
 opls_724       0.150      
 opls_725       0.450      
 opls_726      -0.200      
 opls_727       0.200      
 opls_728      -0.200      
 opls_729       0.200      
 opls_730      -0.200      
 opls_731       0.100      
